user_id,expense,amount,currency,date
U001,bought groceries for dinner,2500,PKR,2026-08-01
U002,paid electricity bill,4500,PKR,2026-08-02
U003,filled petrol in car,5000,PKR,2026-08-03
U004,bought new shoes,3500,PKR,2026-08-04
U005,paid university fee,15000,PKR,2026-08-05
U006,had dinner at restaurant,2200,PKR,2026-08-06
U007,bought medicine from pharmacy,1800,PKR,2026-08-07
U008,paid internet bill,3000,PKR,2026-08-08
U009,bought vegetables and fruits,1200,PKR,2026-08-09
U010,took a taxi to office,850,PKR,2026-08-10
U011,bought a new shirt,2800,PKR,2026-08-11
U012,paid water bill,1200,PKR,2026-08-11
U013,bought laptop accessories,4500,PKR,2026-08-11
U014,paid doctor consultation fee,2500,PKR,2026-08-11
U015,bought stationery for studies,900,PKR,2026-08-11
U016,ordered pizza for dinner,1800,PKR,2026-08-11
U017,paid mobile phone bill,1800,PKR,2026-08-11
U018,bought petrol for car,4000,PKR,2026-08-11
U019,bought a birthday gift,3000,PKR,2026-08-11
U020,bought milk and bread,650,PKR,2026-08-11
U021,paid water bill,950,PKR,2026-08-20
U022,bought a new shirt,2450,PKR,2026-09-04
U023,paid gas bill,2950,PKR,2026-09-09
U024,paid electricity bill,4350,PKR,2026-08-13
U025,bought vegetables,750,PKR,2026-08-19
U026,bought cleaning supplies,1350,PKR,2026-08-29
U027,took a taxi to office,800,PKR,2026-09-03
U028,bought laptop accessories,3950,PKR,2026-08-30
U029,bought a jacket,5600,PKR,2026-08-12
U030,filled petrol in car,4850,PKR,2026-08-22
U031,bought a jacket,4300,PKR,2026-09-11
U032,ordered food online,1300,PKR,2026-08-24
U033,paid gas bill,2600,PKR,2026-08-23
U034,bought jeans,3900,PKR,2026-09-04
U035,bought a wedding gift,5050,PKR,2026-09-10
U036,bought stationery for studies,700,PKR,2026-08-21
U037,paid doctor consultation fee,2550,PKR,2026-09-03
U038,bought bread and butter,500,PKR,2026-08-19
U039,had dinner at restaurant,2950,PKR,2026-09-08
U040,bought new shoes,4550,PKR,2026-08-24
U041,bought a jacket,4900,PKR,2026-09-07
U042,paid doctor consultation fee,2150,PKR,2026-08-23
U043,paid bus fare,300,PKR,2026-09-03
U044,bought bread and butter,650,PKR,2026-08-17
U045,bought a new shirt,2400,PKR,2026-08-24
U046,bought a jacket,5950,PKR,2026-09-01
U047,bought new shoes,4250,PKR,2026-09-07
U048,bought milk and eggs,750,PKR,2026-08-13
U049,bought lunch at restaurant,1300,PKR,2026-08-14
U050,paid bus fare,300,PKR,2026-08-30
U051,bought lunch at restaurant,1200,PKR,2026-08-27
U052,bought notebooks,1350,PKR,2026-09-01
U053,bought a wedding gift,4250,PKR,2026-08-16
U054,bought a new shirt,3050,PKR,2026-08-29
U055,bought jeans,3800,PKR,2026-08-25
U056,bought notebooks,1100,PKR,2026-08-16
U057,bought cleaning supplies,1250,PKR,2026-09-05
U058,bought milk and eggs,950,PKR,2026-08-16
U059,filled petrol in car,5000,PKR,2026-08-25
U060,bought bread and butter,600,PKR,2026-08-31
U061,bought a wedding gift,5050,PKR,2026-08-29
U062,bought groceries for the week,3400,PKR,2026-08-15
U063,bought a jacket,5500,PKR,2026-08-22
U064,paid water bill,1100,PKR,2026-08-17
U065,bought a wedding gift,4000,PKR,2026-09-04
U066,bought jeans,4150,PKR,2026-09-05
U067,bought petrol for car,3500,PKR,2026-08-15
U068,ordered pizza for dinner,2000,PKR,2026-08-28
U069,took a taxi to office,600,PKR,2026-09-05
U070,filled petrol in car,4550,PKR,2026-09-05
U071,paid maintenance charges,3500,PKR,2026-08-31
U072,bought lunch at restaurant,1350,PKR,2026-08-15
U073,paid doctor consultation fee,2850,PKR,2026-09-07
U074,ordered pizza for dinner,1600,PKR,2026-08-19
U075,paid electricity bill,3500,PKR,2026-08-27
U076,bought bread and butter,750,PKR,2026-08-29
U077,paid internet bill,2550,PKR,2026-08-27
U078,filled petrol in car,4050,PKR,2026-09-08
U079,paid university fee,17750,PKR,2026-09-10
U080,took a taxi to office,800,PKR,2026-08-24
U081,paid doctor consultation fee,2400,PKR,2026-08-28
U082,bought a birthday gift,2500,PKR,2026-08-19
U083,bought bread and butter,600,PKR,2026-08-30
U084,bought new shoes,4100,PKR,2026-08-12
U085,bought bread and butter,700,PKR,2026-08-13
U086,bought new shoes,3300,PKR,2026-08-13
U087,ordered food online,1300,PKR,2026-08-19
U088,bought a jacket,5300,PKR,2026-08-18
U089,paid internet bill,3250,PKR,2026-09-09
U090,paid gym fee,2200,PKR,2026-08-27
U091,bought laptop accessories,3900,PKR,2026-08-15
U092,paid university fee,14100,PKR,2026-08-25
U093,bought a wedding gift,5700,PKR,2026-08-13
U094,paid gas bill,2300,PKR,2026-09-04
U095,ordered food online,1750,PKR,2026-08-15
U096,bought a new shirt,2450,PKR,2026-08-29
U097,bought a birthday gift,2550,PKR,2026-08-17
U098,bought a jacket,4900,PKR,2026-09-08
U099,bought bread and butter,600,PKR,2026-09-08
U100,paid gas bill,2250,PKR,2026-08-29
U101,bought groceries for the week,3800,PKR,2026-09-10
U102,bought a new shirt,2400,PKR,2026-08-27
U103,paid gym fee,2200,PKR,2026-08-24
U104,bought milk and eggs,700,PKR,2026-08-12
U105,bought stationery for studies,800,PKR,2026-09-06
U106,bought a wedding gift,4550,PKR,2026-09-03
U107,bought household items,1850,PKR,2026-08-21
U108,paid bus fare,350,PKR,2026-08-30
U109,bought milk and eggs,900,PKR,2026-08-13
U110,bought milk and eggs,850,PKR,2026-08-28
U111,paid maintenance charges,2550,PKR,2026-09-11
U112,bought cleaning supplies,1050,PKR,2026-08-17
U113,bought bread and butter,650,PKR,2026-09-02
U114,bought a new shirt,2650,PKR,2026-09-11
U115,bought a new shirt,2850,PKR,2026-08-13
U116,paid electricity bill,4050,PKR,2026-08-30
