expense,category
bought groceries,Food & Groceries
bought vegetables,Food & Groceries
bought fruits,Food & Groceries
bought milk,Food & Groceries
bought bread,Food & Groceries
restaurant dinner,Food & Groceries
restaurant lunch,Food & Groceries
pizza for dinner,Food & Groceries
ordered food,Food & Groceries
grocery shopping,Food & Groceries
bought meat,Food & Groceries
bought snacks,Food & Groceries
coffee and breakfast,Food & Groceries
bought rice,Food & Groceries
supermarket groceries,Food & Groceries
paid petrol,Transport
filled car with fuel,Transport
uber ride,Transport
taxi fare,Transport
bus ticket,Transport
train ticket,Transport
car fuel,Transport
rickshaw fare,Transport
transport fare,Transport
paid for parking,Transport
vehicle fuel,Transport
petrol station payment,Transport
ride to office,Transport
bought new shoes,Shopping
bought clothes,Shopping
online shopping,Shopping
purchased a bag,Shopping
bought a new shirt,Shopping
bought jeans,Shopping
bought a jacket,Shopping
shopping mall purchase,Shopping
bought accessories,Shopping
purchased a dress,Shopping
bought a watch,Shopping
bought a wallet,Shopping
online order,Shopping
bought cosmetics,Shopping
electricity bill,Bills
internet bill,Bills
gas bill,Bills
phone bill,Bills
water bill,Bills
paid utility bill,Bills
monthly electricity payment,Bills
internet subscription,Bills
mobile phone bill,Bills
gas payment,Bills
water payment,Bills
utility payment,Bills
telephone bill,Bills
movie ticket,Entertainment
cinema ticket,Entertainment
gaming subscription,Entertainment
concert ticket,Entertainment
entertainment expense,Entertainment
Netflix subscription,Entertainment
movie night,Entertainment
game purchase,Entertainment
theater ticket,Entertainment
music subscription,Entertainment
streaming subscription,Entertainment
arcade payment,Entertainment
online game,Entertainment
school books,Education
course fee,Education
tuition fee,Education
online learning course,Education
education books,Education
university fee,Education
college fee,Education
training course,Education
online course payment,Education
study material,Education
exam fee,Education
workshop fee,Education
learning subscription,Education
doctor fee,Health
bought medicine,Health
hospital bill,Health
medical checkup,Health
pharmacy expense,Health
doctor appointment,Health
medical test,Health
healthcare expense,Health
clinic fee,Health
prescription medicine,Health
medical treatment,Health
dental checkup,Health
medical consultation,Health
bought vegetables from market,Food & Groceries
bought fresh fruits,Food & Groceries
purchased groceries,Food & Groceries
monthly grocery purchase,Food & Groceries
bought cooking oil,Food & Groceries
bought flour,Food & Groceries
bought sugar,Food & Groceries
bought tea,Food & Groceries
bought coffee,Food & Groceries
bought eggs,Food & Groceries
bought chicken,Food & Groceries
bought fish,Food & Groceries
bought bread and butter,Food & Groceries
bought cheese,Food & Groceries
bought yogurt,Food & Groceries
bought cereal,Food & Groceries
bought pasta,Food & Groceries
bought noodles,Food & Groceries
bought spices,Food & Groceries
bought frozen food,Food & Groceries
bought canned food,Food & Groceries
bought biscuits,Food & Groceries
bought chocolates,Food & Groceries
bought ice cream,Food & Groceries
bought juice,Food & Groceries
bought soft drinks,Food & Groceries
bought bottled water,Food & Groceries
family dinner,Food & Groceries
family lunch,Food & Groceries
breakfast at restaurant,Food & Groceries
lunch at restaurant,Food & Groceries
dinner at restaurant,Food & Groceries
fast food meal,Food & Groceries
burger meal,Food & Groceries
fried chicken meal,Food & Groceries
pizza order,Food & Groceries
food delivery,Food & Groceries
ordered dinner,Food & Groceries
ordered lunch,Food & Groceries
takeaway food,Food & Groceries
restaurant meal,Food & Groceries
cafe breakfast,Food & Groceries
coffee at cafe,Food & Groceries
tea and snacks,Food & Groceries
bought food items,Food & Groceries
weekly groceries,Food & Groceries
kitchen groceries,Food & Groceries
market food purchase,Food & Groceries
supermarket food,Food & Groceries
bought potatoes,Food & Groceries
bought onions,Food & Groceries
bought tomatoes,Food & Groceries
bought fresh meat,Food & Groceries
bought dairy products,Food & Groceries
bought bakery items,Food & Groceries
bought cooking ingredients,Food & Groceries
grocery delivery,Food & Groceries
food order,Food & Groceries
snack purchase,Food & Groceries
breakfast meal,Food & Groceries
lunch meal,Food & Groceries
dinner meal,Food & Groceries
bought household food,Food & Groceries
monthly food shopping,Food & Groceries
bought lentils,Food & Groceries
bought beans,Food & Groceries
bought cereal and milk,Food & Groceries
bought fruits and vegetables,Food & Groceries
bought bakery bread,Food & Groceries
bought homemade food ingredients,Food & Groceries
bought seafood,Food & Groceries
bought chicken meat,Food & Groceries
bought rice and flour,Food & Groceries
bought spices and herbs,Food & Groceries
paid for petrol,Transport
bought diesel,Transport
filled petrol tank,Transport
car refueling,Transport
motorbike fuel,Transport
fuel station purchase,Transport
paid for fuel,Transport
uber trip,Transport
uber ride to work,Transport
taxi ride,Transport
cab fare,Transport
bus fare,Transport
bus journey,Transport
train fare,Transport
train journey,Transport
rickshaw ride,Transport
careem ride,Transport
ride sharing fare,Transport
commute to office,Transport
office transport,Transport
school bus fare,Transport
paid parking fee,Transport
parking charges,Transport
toll payment,Transport
highway toll,Transport
car maintenance,Transport
vehicle service,Transport
motorbike service,Transport
car repair,Transport
bike fuel,Transport
petrol expense,Transport
transportation cost,Transport
daily commute,Transport
ride home,Transport
ride to school,Transport
ride to university,Transport
airport taxi,Transport
airport transport,Transport
local bus ticket,Transport
metro ticket,Transport
metro fare,Transport
fuel payment,Transport
car fuel expense,Transport
motorcycle fuel,Transport
vehicle refueling,Transport
parking payment,Transport
road toll payment,Transport
public transport fare,Transport
cab payment,Transport
taxi to office,Transport
uber to home,Transport
rickshaw to market,Transport
bus to college,Transport
train ticket purchase,Transport
transport ticket,Transport
commuting expense,Transport
fuel station payment,Transport
car petrol,Transport
bike petrol,Transport
vehicle fuel payment,Transport
transport fare payment,Transport
paid for ride,Transport
daily travel expense,Transport
office commute fare,Transport
local taxi fare,Transport
ride booking,Transport
bought sneakers,Shopping
bought sandals,Shopping
bought slippers,Shopping
purchased clothes,Shopping
new clothes purchase,Shopping
bought trousers,Shopping
bought t shirt,Shopping
bought sweater,Shopping
bought hoodie,Shopping
bought coat,Shopping
bought handbag,Shopping
bought backpack,Shopping
bought purse,Shopping
bought school bag,Shopping
bought belt,Shopping
bought sunglasses,Shopping
bought jewelry,Shopping
bought earrings,Shopping
bought necklace,Shopping
bought bracelet,Shopping
bought makeup,Shopping
bought skincare products,Shopping
bought perfume,Shopping
bought shampoo,Shopping
bought beauty products,Shopping
online purchase,Shopping
online store purchase,Shopping
ecommerce order,Shopping
shopping website order,Shopping
